date,code,open,high,low,close,volume,amount,adjustflag,turn
2022-06-30,sz.301123,24.5700,27.9900,24.4100,26.1500,83158707,2173384674.6100,3,162.222500
2022-07-29,sz.301123,26.0100,33.3300,23.8200,31.4600,122515463,3571579851.5700,3,233.304500
2022-08-31,sz.301123,32.6600,37.6400,25.8800,26.0000,162444851,5195702854.8300,3,299.390900
2022-09-30,sz.301123,25.8600,28.1500,21.2400,21.2400,52180546,1322574526.7500,3,96.170200
2022-10-31,sz.301123,21.3100,23.4700,20.7900,22.4900,28792178,646657816.6300,3,53.064900
2022-11-30,sz.301123,22.4900,24.8000,22.4900,22.6900,41128046,981503865.6800,3,75.800300
2022-12-30,sz.301123,22.8000,26.9600,21.6300,21.9100,86613449,2133627624.3200,3,159.631200
2023-01-31,sz.301123,21.9000,24.1800,21.7000,24.1000,33008738,760451334.9700,3,58.358100
2023-02-28,sz.301123,24.1600,25.2700,23.3500,23.7900,39188161,957120704.7700,3,52.358800
2023-03-31,sz.301123,23.7500,26.9500,23.4000,25.3000,71224290,1787836365.7000,3,93.205800
2023-04-28,sz.301123,25.3200,26.4300,21.5000,22.4000,49458122,1219666742.4700,3,64.722100
2023-05-31,sz.301123,22.3600,24.2100,21.9400,24.1000,23282528,537612859.9300,3,30.468000
2023-06-30,sz.301123,23.8600,31.5000,22.8700,25.5400,142706597,3813371749.9000,3,186.749300
2023-07-31,sz.301123,25.3100,28.8700,24.1900,24.7200,142493139,3798926455.3700,3,186.469800
2023-08-31,sz.301123,24.6500,25.6900,20.6300,22.4500,53618933,1265065527.8300,3,70.167000
2023-09-28,sz.301123,22.4500,23.7400,21.1100,22.3200,30093154,677548781.0200,3,39.380700
2023-10-31,sz.301123,22.3800,23.5000,19.9900,22.1700,30147414,663509830.3100,3,39.451300
2023-11-30,sz.301123,22.4500,25.4800,21.9900,24.1100,70413662,1712718167.4300,3,92.145000
2023-12-29,sz.301123,24.1100,24.2800,21.9000,23.4600,27073988,628980656.7800,3,35.429700
2024-01-31,sz.301123,23.5700,23.7800,15.8000,15.9000,33238249,658472288.6700,3,43.496300
2024-02-29,sz.301123,15.9100,17.4500,11.1000,16.0100,69853059,1004817426.1400,3,91.411000
2024-03-29,sz.301123,16.3200,22.9200,15.7600,18.6000,127718397,2377096449.7400,3,167.135100
2024-04-30,sz.301123,18.6800,18.7500,13.7500,16.8300,60728538,989083130.3900,3,79.470500
2024-05-31,sz.301123,17.4700,25.9100,16.2600,18.6300,249329975,5171675562.6900,3,326.279100
2024-06-28,sz.301123,18.6100,19.7300,15.7200,17.9500,174741547,3177316174.7200,3,228.670800
2024-07-31,sz.301123,17.7500,20.1800,16.1000,17.4500,132302784,2318138931.5100,3,173.134400
2024-08-30,sz.301123,17.5900,17.6700,15.6400,16.8700,92059101,1514180482.2600,3,120.470600
2024-09-30,sz.301123,16.8700,19.8500,14.2900,19.5500,79473527,1298997349.7100,3,104.000900
2024-10-31,sz.301123,23.3200,23.3200,17.9100,19.4800,116847544,2341491609.5600,3,152.909300
2024-11-29,sz.301123,19.3600,21.0800,18.0100,20.7500,105793167,2100803607.0700,3,138.443300
2024-12-31,sz.301123,20.8500,23.8600,19.0600,20.4500,154822858,3317596435.3700,3,202.604700
2025-01-27,sz.301123,20.3800,28.2800,19.6100,21.4500,279582547,6626656752.2600,3,362.614500
2025-02-28,sz.301123,21.6300,26.8700,21.0300,23.3200,190556194,4516502649.1800,3,206.792000
2025-03-31,sz.301123,23.3200,26.0500,21.1200,21.7600,129228487,3176228490.6400,3,140.238600
2025-04-30,sz.301123,21.8000,22.1100,15.5200,18.7200,58170300,1078874564.1300,3,63.126700
2025-05-30,sz.301123,19.5100,22.6400,18.7500,20.1800,89247646,1904188481.0700,3,96.851700
2025-06-30,sz.301123,20.0200,22.9500,20.0200,22.8100,90066584,1954946916.4800,3,97.740400
2025-07-31,sz.301123,22.7000,29.6500,22.0200,26.7900,249601034,6342910066.7900,3,233.828800
2025-08-29,sz.301123,27.3400,52.9800,26.2500,47.9400,443469349,17174786948.4000,3,189.841200
2025-09-30,sz.301123,49.0100,54.9000,39.0000,46.0800,320221566,14819475752.1800,3,137.081100
2025-10-31,sz.301123,45.3900,51.1900,41.7100,46.9600,155142512,7222478788.5100,3,66.413800
2025-11-28,sz.301123,46.5300,47.9200,37.6800,41.5000,102508213,4329481832.0700,3,43.881900
2021-12-31,sz.301177,162.0000,180.0000,118.0000,127.2800,87721439,13092435362.9900,3,256.604300
2022-01-28,sz.301177,125.5900,129.0000,99.7600,103.3600,50975726,6035154296.9500,3,149.115100
2022-02-28,sz.301177,105.3200,105.9200,85.9500,97.3500,41524072,3878384934.9200,3,121.467000
2022-03-31,sz.301177,97.6000,100.5000,82.2000,82.4600,32366372,2878086745.0200,3,94.678800
2022-04-29,sz.301177,81.6800,81.6900,53.5300,59.4100,42395221,2863268572.1900,3,124.015200
2022-05-31,sz.301177,59.0000,70.7000,57.8000,69.5600,26243196,1643884531.0500,3,76.766900
2022-06-30,sz.301177,69.4000,74.9000,66.5000,74.2000,37377798,2640074145.2800,3,104.930600
2022-07-29,sz.301177,75.6000,76.9900,59.2100,59.3300,22379506,1486993825.0100,3,61.373600
2022-08-31,sz.301177,59.2800,62.6500,50.0300,50.3700,24958389,1424969372.0900,3,68.446100
2022-09-30,sz.301177,50.5100,52.3700,43.5000,43.5900,34272633,1660886867.5100,3,93.989500
2022-10-31,sz.301177,43.6000,45.3800,39.9700,41.4900,23250396,987062691.2000,3,63.762300
